epoch,batch,global_step,layer1_weight,layer1_bias,layer2_weight,layer2_bias,layer3_weight,layer3_bias,is_anomaly
1,1,0,0.503047,0.0948,0.306004,0.053762,0.776588,0.192187,0
1,2,1,0.499782,0.095715,0.307005,0.053101,0.800712,0.206733,0
1,3,2,0.503588,0.095166,0.306968,0.04978,0.797622,0.195854,0
1,4,3,0.495567,0.098179,0.304168,0.051432,0.804713,0.202495,0
1,5,4,0.494678,0.095851,0.304808,0.054476,0.798313,0.194839,0
1,6,5,0.507183,0.102616,0.294526,0.050879,0.801,0.201162,0
1,7,6,0.506489,0.100218,0.302133,0.052465,0.782034,0.197902,0
1,8,7,0.496899,0.107335,0.292863,0.053803,0.779246,0.197781,0
1,9,8,0.506712,0.103807,0.29697,0.048071,0.809656,0.198612,0
1,10,9,0.490355,0.102306,0.300869,0.052672,0.794153,0.200681,0
1,11,10,0.504068,0.09649,0.296796,0.048373,0.78485,0.202622,0
1,12,11,0.504257,0.102013,0.304993,0.049496,0.79404,0.199192,0
1,13,12,0.486173,0.094774,0.302838,0.046258,0.794502,0.207435,0
1,14,13,0.490014,0.098713,0.29201,0.048514,0.809044,0.189246,0
1,15,14,0.493359,0.09249,0.300157,0.047742,0.801672,0.199711,0
1,16,15,0.489015,0.100596,0.30131,0.055287,0.808821,0.201691,0
1,17,16,0.492802,0.095047,0.296402,0.044333,0.806342,0.198187,0
1,18,17,0.502285,0.103851,0.315464,0.061485,0.803613,0.193553,0
1,19,18,0.490971,0.097563,0.294563,0.049257,0.811352,0.200402,0
1,20,19,0.482303,0.097188,0.299,0.056882,0.800043,0.205326,0
1,21,20,0.489349,0.095974,0.316428,0.046514,0.808462,0.193982,0
1,22,21,0.497384,0.099376,0.294132,0.051574,0.79286,0.192016,0
1,23,22,0.514691,0.10036,0.298391,0.050923,0.813912,0.200656,0
1,24,23,0.503138,0.107219,0.300776,0.044872,0.781742,0.209216,0
1,25,24,0.494968,0.106827,0.290424,0.046181,0.8058,0.196912,0
1,26,25,0.502126,0.106537,0.299975,0.052326,0.773398,0.198958,0
1,27,26,0.489918,0.097809,0.306547,0.044434,0.798288,0.196315,0
1,28,27,0.504031,0.106147,0.297954,0.046946,0.795154,0.200645,0
1,29,28,0.499505,0.100581,0.3193,0.057227,0.787521,0.197436,0
1,30,29,0.501706,0.105449,0.293297,0.047093,0.771913,0.198154,0
1,31,30,0.489731,0.098929,0.285038,0.043832,0.823151,0.191375,0
1,32,31,0.527501,0.093522,0.296124,0.051056,0.818264,0.193149,0
1,33,32,0.502748,0.097479,0.297969,0.04418,0.794582,0.197442,0
1,34,33,0.503065,0.104404,0.300253,0.051077,0.797998,0.199011,0
1,35,34,0.497327,0.109786,0.311567,0.051203,0.788123,0.192306,0
1,36,35,0.503051,0.090577,0.30637,0.051468,0.783875,0.196121,0
1,37,36,0.495278,0.098763,0.296904,0.05025,0.814778,0.18352,0
1,38,37,0.50111,0.0974,0.284836,0.050942,0.817768,0.189687,0
1,39,38,0.497487,0.093976,0.296184,0.05482,0.803952,0.209254,0
1,40,39,0.515489,0.101415,0.305454,0.048424,0.797679,0.194645,0
1,41,40,0.505824,0.098247,0.30817,0.052603,0.818648,0.203185,0
1,42,41,0.48623,0.096589,0.31086,0.05214,0.788333,0.192688,0
1,43,42,0.491189,0.10072,0.307982,0.052015,0.769145,0.200566,0
1,44,43,0.514012,0.088824,0.293981,0.051934,0.777581,0.207566,0
1,45,44,0.492091,0.103189,0.307228,0.050492,0.799293,0.200302,0
1,46,45,0.496225,0.101017,0.306649,0.045316,0.7949,0.207539,0
1,47,46,0.499723,0.103302,0.298711,0.054856,0.806602,0.203671,0
1,48,47,0.495598,0.089042,0.311424,0.047699,0.797535,0.206447,0
1,49,48,0.481587,0.095069,0.302077,0.051617,0.799475,0.190083,0
1,50,49,0.492832,0.101317,0.304146,0.050063,0.805202,0.199905,0
1,51,50,0.495704,0.099984,0.305064,0.047925,0.802254,0.196905,0
1,52,51,0.477519,0.092498,0.286613,0.040156,0.787781,0.202967,0
1,53,52,0.508292,0.105598,0.297887,0.054894,0.796946,0.193416,0
1,54,53,0.488469,0.09715,0.304839,0.056353,0.779174,0.200767,0
1,55,54,0.495989,0.089765,0.305806,0.04704,0.789273,0.191961,0
1,56,55,0.495358,0.100543,0.301245,0.054733,0.791487,0.189489,0
1,57,56,0.508346,0.100797,0.297271,0.050835,0.818932,0.210782,0
1,58,57,0.507912,0.094632,0.300955,0.049327,0.799207,0.19329,0
1,59,58,0.485926,0.096547,0.295914,0.057169,0.808632,0.192487,0
1,60,59,0.494206,0.099747,0.303183,0.048053,0.808046,0.191378,0
1,61,60,0.499231,0.105966,0.298932,0.051723,0.794519,0.197178,0
1,62,61,0.488435,0.102108,0.306852,0.050856,0.791685,0.200894,0
1,63,62,0.478586,0.097082,0.282214,0.0434,0.811406,0.203511,0
1,64,63,0.467205,0.096023,0.317473,0.05111,0.788245,0.2009,0
1,65,64,0.497795,0.098289,0.304406,0.050739,0.8029,0.19395,0
1,66,65,0.487049,0.094262,0.308736,0.048585,0.811646,0.195395,0
1,67,66,0.499282,0.106504,0.295126,0.045576,0.789337,0.200734,0
1,68,67,0.491262,0.104399,0.278836,0.046184,0.774402,0.193033,0
1,69,68,0.494066,0.097844,0.299587,0.045286,0.803042,0.201936,0
1,70,69,0.499514,0.108795,0.297233,0.048082,0.785438,0.191736,0
1,71,70,0.495793,0.100271,0.298309,0.046238,0.805202,0.202336,0
1,72,71,0.501934,0.09952,0.286285,0.049018,0.797464,0.192472,0
1,73,72,0.509762,0.1048,0.29582,0.050734,0.765321,0.190902,0
1,74,73,0.503494,0.108526,0.288397,0.04592,0.796985,0.207477,0
1,75,74,0.514513,0.090261,0.287531,0.047566,0.787833,0.202656,0
1,76,75,0.501404,0.095612,0.307946,0.04674,0.786361,0.200997,0
1,77,76,0.479344,0.10117,0.289446,0.050181,0.776835,0.200398,0
1,78,77,0.503288,0.099668,0.292778,0.055035,0.788552,0.197883,0
1,79,78,0.500811,0.095773,0.294367,0.054671,0.781273,0.183183,0
1,80,79,0.491997,0.088736,0.295146,0.048065,0.791401,0.19095,0
1,81,80,0.481056,0.101896,0.314021,0.049888,0.789552,0.196748,0
1,82,81,0.497594,0.096428,0.312353,0.048493,0.813535,0.190948,0
1,83,82,0.48721,0.099247,0.30724,0.047885,0.773136,0.197435,0
1,84,83,0.495034,0.089812,0.284585,0.051098,0.787087,0.182122,0
1,85,84,0.488661,0.091736,0.304166,0.050557,0.821871,0.200001,0
1,86,85,0.503918,0.101425,0.307464,0.047065,0.787975,0.194575,0
1,87,86,0.491112,0.096156,0.299933,0.048157,0.804545,0.183909,0
