experiment,model_class,size_label,flip_frac,n_seeds,precision,recall,f1
,FourKAE,4k,0.1,10,0.5033299999999999,0.9800000000000001,0.66403
,FourKAE,4k,0.2,10,0.50625,0.99,0.66926
,FourKAE,4k,0.3,10,0.5088199999999999,1.0,0.6740999999999999
,FourKAE,4k,0.4,10,0.5088199999999999,1.0,0.6740999999999999
,FourKAE,4k,0.5,10,0.5088199999999999,1.0,0.6740999999999999
,SixKAE,6k,0.1,10,0.45958,0.6900000000000001,0.53062
,SixKAE,6k,0.2,10,0.45712,0.7,0.53449
,SixKAE,6k,0.3,10,0.51448,0.79,0.60845
,SixKAE,6k,0.4,10,0.57203,0.97,0.7161799999999999
,SixKAE,6k,0.5,10,0.5808500000000001,1.0,0.731
,EightKAE,8k,0.1,10,0.25987,0.37,0.28847
,EightKAE,8k,0.2,10,0.32589999999999997,0.41,0.34414
,EightKAE,8k,0.3,10,0.49058999999999997,0.53,0.45714
,EightKAE,8k,0.4,10,0.66816,1.0,0.79177
,EightKAE,8k,0.5,10,0.66816,1.0,0.79177
,TenKAE,10k,0.1,10,0.43723999999999996,0.7,0.52057
,TenKAE,10k,0.2,10,0.38688,0.55,0.43963
,TenKAE,10k,0.3,10,0.57706,0.82,0.61159
,TenKAE,10k,0.4,10,0.6000099999999999,1.0,0.73855
,TenKAE,10k,0.5,10,0.6000099999999999,1.0,0.73855
,TwelveKAE,12k,0.1,10,0.53725,0.7,0.5259
,TwelveKAE,12k,0.2,10,0.42221000000000003,0.64,0.48342
,TwelveKAE,12k,0.3,10,0.57015,0.76,0.58297
,TwelveKAE,12k,0.4,10,0.61348,1.0,0.74782
,TwelveKAE,12k,0.5,10,0.61348,1.0,0.74782
