experiment,model_class,size_label,flip_frac,n_seeds,precision,recall,f1
,FourKCNN,4k,0.1,10,0.31970000000000004,0.5181818181818182,0.38839090909090906
,FourKCNN,4k,0.2,10,0.45397,0.55,0.44902999999999993
,FourKCNN,4k,0.3,10,0.6428200000000001,0.78,0.65693
,FourKCNN,4k,0.4,10,0.69123,0.99,0.79759
,FourKCNN,4k,0.5,10,0.69972,1.0,0.80716
,SixKCNN,6k,0.1,10,0.38080909090909093,0.5636363636363636,0.41504545454545455
,SixKCNN,6k,0.2,10,0.5125,0.62,0.45751
,SixKCNN,6k,0.3,10,0.61706,0.75,0.62723
,SixKCNN,6k,0.4,10,0.6585,0.99,0.77145
,SixKCNN,6k,0.5,10,0.66112,1.0,0.7762100000000001
,EightKCNN,8k,0.1,10,0.3518818181818182,0.4818181818181818,0.38949090909090905
,EightKCNN,8k,0.2,10,0.35771,0.47000000000000003,0.39557
,EightKCNN,8k,0.3,10,0.48281999999999997,0.5599999999999999,0.48255
,EightKCNN,8k,0.4,10,0.67951,1.0,0.79564
,EightKCNN,8k,0.5,10,0.67951,1.0,0.79564
,TenKCNN,10k,0.1,10,0.544,0.6272727272727273,0.4955818181818181
,TenKCNN,10k,0.2,10,0.50437,0.7,0.52952
,TenKCNN,10k,0.3,10,0.63889,0.9,0.6945
,TenKCNN,10k,0.4,10,0.63859,1.0,0.7622
,TenKCNN,10k,0.5,10,0.63889,1.0,0.7623599999999999
,TwelveKCNN,12k,0.1,10,0.6237454545454546,0.7636363636363637,0.6304363636363637
,TwelveKCNN,12k,0.2,10,0.5370199999999999,0.72,0.59748
,TwelveKCNN,12k,0.3,10,0.6565000000000001,0.9099999999999999,0.73082
,TwelveKCNN,12k,0.4,10,0.68571,0.99,0.7982
,TwelveKCNN,12k,0.5,10,0.67362,1.0,0.7942199999999999
