experiment,model_class,size_label,flip_frac,n_seeds,precision,recall,f1
,FourKMLP,4k,0.1,10,0.39742500000000003,0.425,0.35553999999999997
,FourKMLP,4k,0.2,10,0.496525,0.585,0.49613499999999994
,FourKMLP,4k,0.3,10,0.666845,0.8150000000000001,0.68442
,FourKMLP,4k,0.4,10,0.6988,1.0,0.8063649999999999
,FourKMLP,4k,0.5,10,0.6988,1.0,0.8063649999999999
,SixKMLP,6k,0.1,10,0.44215499999999996,0.37,0.306
,SixKMLP,6k,0.2,10,0.64585,0.58,0.54128
,SixKMLP,6k,0.3,10,0.8143100000000001,0.845,0.77749
,SixKMLP,6k,0.4,10,0.8241999999999999,1.0,0.88785
,SixKMLP,6k,0.5,10,0.8241999999999999,1.0,0.88785
,EightKMLP,8k,0.1,10,0.3625,0.5599999999999999,0.40557499999999996
,EightKMLP,8k,0.2,10,0.62596,0.74,0.59886
,EightKMLP,8k,0.3,10,0.61727,0.8400000000000001,0.687025
,EightKMLP,8k,0.4,10,0.72692,1.0,0.8203099999999999
,EightKMLP,8k,0.5,10,0.72692,1.0,0.8203099999999999
,TenKMLP,10k,0.1,10,0.46681,0.3,0.313745
,TenKMLP,10k,0.2,10,0.659805,0.7150000000000001,0.64766
,TenKMLP,10k,0.3,10,0.782515,0.9550000000000001,0.8376950000000001
,TenKMLP,10k,0.4,10,0.78383,1.0,0.86399
,TenKMLP,10k,0.5,10,0.78383,1.0,0.86399
,TwelveKMLP,12k,0.1,10,0.36924,0.505,0.37682
,TwelveKMLP,12k,0.2,10,0.6298600000000001,0.765,0.63778
,TwelveKMLP,12k,0.3,10,0.703125,0.9400000000000001,0.770605
,TwelveKMLP,12k,0.4,10,0.70882,1.0,0.8074199999999999
,TwelveKMLP,12k,0.5,10,0.70882,1.0,0.8074199999999999
