flag_frac,at_r,tp,fp,tn,fn,precision,recall,f1
0.1,0.01,10,0,10,0,1.0,1.0,1.0
0.1,0.02,10,0,10,0,1.0,1.0,1.0
0.1,0.05,10,10,0,0,0.5,1.0,0.6667
0.1,0.1,10,10,0,0,0.5,1.0,0.6667
0.1,0.15,10,10,0,0,0.5,1.0,0.6667
0.1,0.2,10,10,0,0,0.5,1.0,0.6667
0.1,0.25,10,10,0,0,0.5,1.0,0.6667
0.2,0.01,10,0,10,0,1.0,1.0,1.0
0.2,0.02,10,0,10,0,1.0,1.0,1.0
0.2,0.05,10,6,4,0,0.625,1.0,0.7692
0.2,0.1,10,10,0,0,0.5,1.0,0.6667
0.2,0.15,10,10,0,0,0.5,1.0,0.6667
0.2,0.2,10,10,0,0,0.5,1.0,0.6667
0.2,0.25,10,10,0,0,0.5,1.0,0.6667
0.3,0.01,10,0,10,0,1.0,1.0,1.0
0.3,0.02,10,0,10,0,1.0,1.0,1.0
0.3,0.05,10,1,9,0,0.9091,1.0,0.9524
0.3,0.1,10,6,4,0,0.625,1.0,0.7692
0.3,0.15,10,7,3,0,0.5882,1.0,0.7407
0.3,0.2,10,9,1,0,0.5263,1.0,0.6897
0.3,0.25,10,10,0,0,0.5,1.0,0.6667
0.4,0.01,10,0,10,0,1.0,1.0,1.0
0.4,0.02,10,0,10,0,1.0,1.0,1.0
0.4,0.05,10,0,10,0,1.0,1.0,1.0
0.4,0.1,10,1,9,0,0.9091,1.0,0.9524
0.4,0.15,10,6,4,0,0.625,1.0,0.7692
0.4,0.2,10,6,4,0,0.625,1.0,0.7692
0.4,0.25,10,9,1,0,0.5263,1.0,0.6897
0.5,0.01,10,0,10,0,1.0,1.0,1.0
0.5,0.02,10,0,10,0,1.0,1.0,1.0
0.5,0.05,10,0,10,0,1.0,1.0,1.0
0.5,0.1,10,1,9,0,0.9091,1.0,0.9524
0.5,0.15,10,1,9,0,0.9091,1.0,0.9524
0.5,0.2,10,4,6,0,0.7143,1.0,0.8333
0.5,0.25,10,6,4,0,0.625,1.0,0.7692
0.6,0.01,10,0,10,0,1.0,1.0,1.0
0.6,0.02,10,0,10,0,1.0,1.0,1.0
0.6,0.05,10,0,10,0,1.0,1.0,1.0
0.6,0.1,10,0,10,0,1.0,1.0,1.0
0.6,0.15,10,0,10,0,1.0,1.0,1.0
0.6,0.2,10,1,9,0,0.9091,1.0,0.9524
0.6,0.25,10,1,9,0,0.9091,1.0,0.9524
0.7,0.01,10,0,10,0,1.0,1.0,1.0
0.7,0.02,10,0,10,0,1.0,1.0,1.0
0.7,0.05,10,0,10,0,1.0,1.0,1.0
0.7,0.1,10,0,10,0,1.0,1.0,1.0
0.7,0.15,10,0,10,0,1.0,1.0,1.0
0.7,0.2,10,0,10,0,1.0,1.0,1.0
0.7,0.25,10,0,10,0,1.0,1.0,1.0
